,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN21462_c0_g20,244,251,184,233,170,305,142,41,222,224
TRINITY_DN22812_c3_g1,81,62,100,64,43,63,61,214,49,59
TRINITY_DN22846_c5_g1,51,86,79,82,48,85,96,115,82,58
TRINITY_DN23767_c10_g8,70,72,45,42,48,67,63,57,109,17
TRINITY_DN22980_c2_g1,47,50,31,65,38,45,68,54,69,54
TRINITY_DN17301_c0_g1,202,555,193,158,89,204,106,37,441,110
TRINITY_DN23414_c1_g30,194.92,144.6,397.49,202.04,276.27,224.13,170.61,149.61,293.46,175.81
TRINITY_DN20834_c5_g5,35,65,40,57,32,48,69,27,80,23
TRINITY_DN13759_c0_g1,61,86,46,71,68,71,82,164,129,53
TRINITY_DN22133_c1_g1,874.4,1034.64,1128.85,1012.8,855,998.52,1631.62,4283.75,2025.93,696.57
TRINITY_DN17111_c0_g1,57,65,67,42,24,92,26,10,52,42
TRINITY_DN23757_c6_g24,1502.27,1668.32,680.57,397.2,136.51,1483.91,345.6,110.65,638.66,520.62
TRINITY_DN19928_c1_g5,55,121,55,55,38,53,38,82,52,53
TRINITY_DN22051_c3_g5,251.88,164.64,257.23,573.08,578.22,291.89,390.74,540,123.23,137.78
TRINITY_DN13448_c0_g1,99,164,120,126,72,118,157,78,289,67
TRINITY_DN5693_c0_g1,16,16,14,22,10,29,22,22,21,14
TRINITY_DN7682_c0_g2,420,275,316,537,295,561,374,395,590,277
TRINITY_DN2503_c0_g1,26,71.93,46.97,40,39,65,61,81.76,113,30
TRINITY_DN22792_c4_g1,45,80,33,27,18,59,42,19,36,27
TRINITY_DN20523_c0_g4,141,118,138,290,153,120,216,482,153,170
TRINITY_DN23760_c11_g1,1664.88,1971.59,912.6,1277.94,1116.42,1696.02,1256.57,156.79,1011.51,1663.16
TRINITY_DN22758_c2_g42,23.74,16,17.89,12,13,32,17,15,37,31
TRINITY_DN20702_c1_g1,194,191,88,117,68,224,129,16,115,218
TRINITY_DN22986_c1_g6,90,96,91,59,76,98,32,134,73,73
TRINITY_DN14552_c0_g1,13,17,12,15,11,15,13,26,14,11
TRINITY_DN20283_c0_g4,14,25,10,10,15,22,27,31.79,30.04,15
TRINITY_DN16378_c0_g1,72,101,78,116,53,78,83.96,68,137,67
TRINITY_DN20496_c0_g1,169,259,200,244,182,194,200,547,238,202
TRINITY_DN18246_c0_g1,582,976,390,533,386,596,792,250,1219,302
TRINITY_DN18684_c0_g1,48.29,117.18,43.72,51.11,26.37,74.53,29.4,18.64,18.69,37.35
TRINITY_DN20932_c0_g1,40,49,37,53,19,63,39,24,56,38
